price,timestamp
25250,2012-06-28
25150,2012-06-29
24950,2012-06-30
24700,2012-07-01
24890,2012-07-02
24900,2012-07-03
24240,2012-07-04
23930,2012-07-07
23850,2012-07-08
24120,2012-07-09
23920,2012-07-10
23830,2012-07-11
23601,2012-07-12
23560,2012-07-14
23630,2012-07-15
23590,2012-07-16
23590,2012-07-17
23640,2012-07-18
23364,2012-07-19
23350,2012-07-21
23260,2012-07-22
23390,2012-07-23
23610,2012-07-24
24200,2012-07-25
24210,2012-07-26
24250,2012-07-28
24270,2012-07-29
24310,2012-07-30
24650,2012-07-31
24800,2012-08-01
24930,2012-08-02
25230,2012-08-04
26250,2012-08-05
27000,2012-08-06
26200,2012-08-07
25900,2012-08-08
26250,2012-08-09
26370,2012-08-11
26250,2012-08-12
26250,2012-08-13
26280,2012-08-14
26200,2012-08-15
26640,2012-08-16
26490,2012-08-18
26710,2012-08-21
27180,2012-08-22
27313,2012-08-23
27480,2012-08-25
27620,2012-08-26
27580,2012-08-27
27620,2012-08-28
27502,2012-08-29
27539,2012-08-30
27470,2012-09-01
27460,2012-09-02
27640,2012-09-03
27950,2012-09-04
28320,2012-09-05
29367,2012-09-06
31430,2012-09-08
32300,2012-09-09
31600,2012-09-10
31980,2012-09-11
31700,2012-09-13
32100,2012-09-15
32900,2012-09-16
32200,2012-09-17
31850,2012-09-18
31900,2012-09-19
31900,2012-09-20
32250,2012-09-22
32600,2012-09-23
33700,2012-09-24
34000,2012-09-25
34700,2012-09-26
38350,2012-09-27
39200,2012-09-29
44700,2012-09-30
47000,2012-10-01
47000,2012-10-02
47000,2012-10-03
47000,2012-10-04
47000,2012-10-06
47000,2012-10-07
47000,2012-10-08
47000,2012-10-09
47000,2012-10-10
47000,2012-10-11
47000,2012-10-13
47000,2012-10-14
47100,2012-10-15
44840,2012-10-16
45350,2012-10-17
41940,2012-10-18
45950,2012-10-20
44770,2012-10-21
46840,2012-10-22
40750,2012-10-23
45270,2012-10-24
44210,2012-10-25
40380,2012-10-27
45640,2012-10-28
41250,2012-10-29
46880,2012-10-30
41890,2012-10-31
41030,2012-11-01
44550,2012-11-04
40340,2012-11-05
45150,2012-11-06
46690,2012-11-07
45460,2012-11-08
46810,2012-11-10
42140,2012-11-11
41410,2012-11-12
45590,2012-11-13
41350,2012-11-14
40790,2012-11-15
44520,2012-11-17
45190,2012-11-18
45900,2012-11-19
44850,2012-11-20
45780,2012-11-21
45630,2012-11-22
45060,2012-11-26
41230,2012-11-27
40600,2012-11-28
41930,2012-11-29
44750,2012-12-01
40740,2012-12-02
44300,2012-12-03
44620,2012-12-04
45130,2012-12-05
45460,2012-12-06
40270,2012-12-08
46820,2012-12-09
43510,2012-12-10
45930,2012-12-11
46820,2012-12-12
41180,2012-12-13
41050,2012-12-15
40040,2012-12-16
41400,2012-12-17
40900,2012-12-18
41000,2012-12-19
41600,2012-12-20
42000,2012-12-22
44090,2012-12-23
43900,2012-12-24
43400,2012-12-25
43400,2012-12-26
43030,2012-12-27
42900,2012-12-29
42700,2012-12-30
42500,2012-12-31
43100,2013-01-01
42650,2013-01-02
42500,2013-01-05
42300,2013-01-06
42550,2013-01-07
42950,2013-01-08
42920,2013-01-09
43741,2013-01-10
43900,2013-01-13
44000,2013-01-14
44000,2013-01-15
44000,2013-01-16
44200,2013-01-17
45200,2013-01-19
47750,2013-01-21
47550,2013-01-22
47300,2013-01-23
