price,timestamp
1000000,2013-07-22
1030000,2013-07-23
1020000,2013-07-24
1025000,2013-07-25
1040000,2013-07-27
1030000,2013-07-28
1030000,2013-07-29
1030000,2013-07-31
1046000,2013-08-01
1040000,2013-08-03
1030000,2013-08-04
1020000,2013-08-05
1020000,2013-08-06
1030000,2013-08-07
1033000,2013-08-08
1050000,2013-08-11
1040000,2013-08-12
1040000,2013-08-13
1040000,2013-08-14
1053000,2013-08-15
1060000,2013-08-17
1060000,2013-08-18
1040000,2013-08-19
1030000,2013-08-20
1040000,2013-08-21
1042000,2013-08-22
1060000,2013-08-24
1060000,2013-08-25
1080000,2013-08-26
1140000,2013-08-27
1120000,2013-08-28
1120000,2013-08-29
1110000,2013-08-31
1110000,2013-09-01
1140000,2013-09-03
1140000,2013-09-04
1140000,2013-09-05
1120000,2013-09-07
1110000,2013-09-08
1070000,2013-09-09
1055000,2013-09-10
1040000,2013-09-11
1040000,2013-09-12
1020000,2013-09-14
990000,2013-09-15
980000,2013-09-16
980000,2013-09-17
1020000,2013-09-18
997000,2013-09-19
950000,2013-09-21
960000,2013-09-22
950000,2013-09-23
990000,2013-09-24
990000,2013-09-25
990000,2013-09-26
1010000,2013-09-28
990000,2013-09-29
980000,2013-09-30
980000,2013-10-01
980000,2013-10-02
980000,2013-10-03
990000,2013-10-05
980000,2013-10-06
990000,2013-10-07
980000,2013-10-08
980000,2013-10-09
969000,2013-10-10
950000,2013-10-12
960000,2013-10-13
950000,2013-10-14
950000,2013-10-15
970000,2013-10-17
970000,2013-10-19
970000,2013-10-20
983000,2013-10-21
971000,2013-10-22
977000,2013-10-23
990000,2013-10-26
990000,2013-10-27
990000,2013-10-28
990000,2013-10-29
980000,2013-10-30
980000,2013-10-31
980000,2013-11-02
970000,2013-11-03
970000,2013-11-04
970000,2013-11-05
970000,2013-11-06
970000,2013-11-07
950000,2013-11-09
950000,2013-11-10
950000,2013-11-11
950000,2013-11-12
950000,2013-11-16
940000,2013-11-17
940000,2013-11-18
930000,2013-11-19
920000,2013-11-20
920000,2013-11-21
860000,2013-11-23
860000,2013-11-24
890000,2013-11-25
890000,2013-11-26
880000,2013-11-27
880000,2013-11-28
890000,2013-11-30
890000,2013-12-01
880000,2013-12-02
880000,2013-12-03
890000,2013-12-04
890000,2013-12-05
890000,2013-12-07
890000,2013-12-08
900000,2013-12-09
900000,2013-12-10
890000,2013-12-11
890000,2013-12-12
900000,2013-12-14
890000,2013-12-15
890000,2013-12-16
890000,2013-12-17
880000,2013-12-18
880000,2013-12-19
870000,2013-12-21
880000,2013-12-22
870000,2013-12-24
879000,2013-12-25
880000,2013-12-26
900000,2013-12-28
890000,2013-12-29
890000,2013-12-30
899000,2014-01-01
900000,2014-01-04
900000,2014-01-05
900000,2014-01-06
900000,2014-01-07
900000,2014-01-08
900000,2014-01-09
910000,2014-01-11
890000,2014-01-12
890000,2014-01-13
890000,2014-01-14
890000,2014-01-15
890000,2014-01-16
890000,2014-01-18
878000,2014-01-20
882000,2014-01-21
882000,2014-01-22
882000,2014-01-23
882000,2014-01-25
889400,2014-01-26
884700,2014-01-27
884200,2014-01-28
887600,2014-01-29
890200,2014-01-30
892240,2014-02-01
897550,2014-02-02
895930,2014-02-03
898470,2014-02-04
898930,2014-02-05
898930,2014-02-06
902160,2014-02-08
907710,2014-02-09
918320,2014-02-10
932870,2014-02-12
932870,2014-02-13
953410,2014-02-15
960340,2014-02-16
954800,2014-02-17
955720,2014-02-18
951110,2014-02-19
951110,2014-02-20
957800,2014-02-22
975110,2014-02-23
981580,2014-02-24
969570,2014-02-25
974880,2014-02-26
974880,2014-02-27
983190,2014-03-01
1012300,2014-03-02
989890,2014-03-03
993120,2014-03-04
997740,2014-03-05
997740,2014-03-06
988500,2014-03-08
993810,2014-03-09
990350,2014-03-10
993810,2014-03-11
999580,2014-03-12
999580,2014-03-13
1000000,2014-03-15
988500,2014-03-16
976730,2014-03-17
970730,2014-03-18
976500,2014-03-19
971880,2014-03-25
969570,2014-03-26
969570,2014-03-27
965420,2014-03-29
966800,2014-03-30
964960,2014-03-31
968880,2014-04-05
970270,2014-04-06
982500,2014-04-07
982730,2014-04-08
990350,2014-04-09
990350,2014-04-10
999580,2014-04-12
1007700,2014-04-13
1001900,2014-04-14
1004200,2014-04-15
1000700,2014-04-16
1000700,2014-04-17
1004200,2014-04-19
1007700,2014-04-20
1016900,2014-04-21
1018700,2014-04-22
1018710,2014-04-23
1025750,2014-04-24
1059100,2014-04-26
1038800,2014-04-27
1037440,2014-04-28
1035370,2014-04-29
1035370,2014-04-30
1035370,2014-05-01
1037680,2014-05-03
1043450,2014-05-04
1036520,2014-05-05
1029130,2014-05-06
1016210,2014-05-07
1016210,2014-05-08
993120,2014-05-10
1005360,2014-05-11
1005360,2014-05-12
1007430,2014-05-14
1007430,2014-05-15
1008590,2014-05-17
1012970,2014-05-18
1006510,2014-05-19
1008820,2014-05-20
1010200,2014-05-21
1009740,2014-05-22
1006340,2014-05-24
1006970,2014-05-25
1002066,2014-05-26
982730,2014-05-28
979198,2014-05-29
979730,2014-05-31
978810,2014-06-01
978810,2014-06-02
974189,2014-06-03
966110,2014-06-07
963800,2014-06-08
961490,2014-06-09
972110,2014-06-10
975350,2014-06-11
975452,2014-06-12
978120,2014-06-14
971880,2014-06-15
968420,2014-06-16
969110,2014-06-17
973040,2014-06-18
995629,2014-06-19
993810,2014-06-21
988040,2014-06-22
991970,2014-06-23
988500,2014-06-24
985960,2014-06-25
981442,2014-06-26
978145,2014-06-28
978005,2014-06-29
984572,2014-06-30
978228,2014-07-01
984221,2014-07-02
974737,2014-07-03
969110,2014-07-05
967960,2014-07-06
973270,2014-07-07
975350,2014-07-08
984580,2014-07-09
984580,2014-07-10
986660,2014-07-12
974190,2014-07-13
970040,2014-07-14
970730,2014-07-15
972350,2014-07-16
972052,2014-07-17
971650,2014-07-20
970730,2014-07-21
971420,2014-07-22
970500,2014-07-23
972300,2014-07-24
974880,2014-07-26
972580,2014-07-27
972580,2014-07-28
971288,2014-07-31
973270,2014-08-02
973960,2014-08-03
970270,2014-08-04
975580,2014-08-05
