price,timestamp
13700,2011-11-26
13440,2011-11-27
13350,2011-11-28
13350,2011-11-29
13500,2011-11-30
13590,2011-12-01
13610,2011-12-03
13623,2011-12-04
13550,2011-12-07
13493,2011-12-08
13450,2011-12-10
13530,2011-12-11
13630,2011-12-12
13770,2011-12-13
13710,2011-12-14
13730,2011-12-15
14080,2011-12-17
14500,2011-12-18
15300,2011-12-19
15150,2011-12-20
14230,2011-12-21
14304,2011-12-22
14800,2011-12-24
15250,2011-12-25
15150,2011-12-26
15200,2011-12-27
15220,2011-12-28
15388,2011-12-29
15900,2011-12-31
17400,2012-01-01
16200,2012-01-02
15800,2012-01-03
15980,2012-01-04
15979,2012-01-05
16550,2012-01-07
16900,2012-01-08
16900,2012-01-09
16920,2012-01-10
16950,2012-01-11
16914,2012-01-12
16900,2012-01-15
17400,2012-01-16
18200,2012-01-17
18200,2012-01-18
18790,2012-01-19
19300,2012-01-21
19100,2012-01-23
17000,2012-01-25
17100,2012-01-26
18300,2012-01-28
18300,2012-01-29
18300,2012-01-30
18300,2012-01-31
17830,2012-02-02
18500,2012-02-04
18800,2012-02-05
18900,2012-02-06
19200,2012-02-07
19350,2012-02-08
19350,2012-02-09
19000,2012-02-12
19350,2012-02-13
19500,2012-02-14
19600,2012-02-15
19560,2012-02-16
19200,2012-02-18
19400,2012-02-19
19450,2012-02-20
19350,2012-02-21
19350,2012-02-22
19333,2012-02-23
19300,2012-02-25
18700,2012-02-26
18500,2012-02-27
19200,2012-02-28
19250,2012-02-29
19250,2012-03-01
19000,2012-03-03
19100,2012-03-04
18950,2012-03-05
18850,2012-03-06
19000,2012-03-07
18800,2012-03-08
18700,2012-03-10
18850,2012-03-11
18800,2012-03-12
18600,2012-03-13
18500,2012-03-14
18520,2012-03-15
19150,2012-03-17
19123,2012-03-18
18900,2012-03-24
19000,2012-03-25
19000,2012-03-26
19200,2012-03-27
19200,2012-03-28
19190,2012-03-29
19000,2012-04-02
18950,2012-04-03
19000,2012-04-04
19000,2012-04-05
19010,2012-04-07
19000,2012-04-08
18650,2012-04-09
18800,2012-04-10
18840,2012-04-11
18812,2012-04-12
17300,2012-04-14
17800,2012-04-15
18000,2012-04-16
18240,2012-04-17
18180,2012-04-18
18065,2012-04-19
17950,2012-04-21
17790,2012-04-22
17580,2012-04-23
17519,2012-04-24
17185,2012-04-26
17340,2012-04-28
17250,2012-04-29
17100,2012-04-30
17090,2012-05-01
17050,2012-05-02
16792,2012-05-03
16720,2012-05-05
16640,2012-05-06
16550,2012-05-07
16500,2012-05-08
16190,2012-05-09
15936,2012-05-10
15750,2012-05-12
16250,2012-05-13
16690,2012-05-14
16380,2012-05-15
